time [yyyy_doy],time [yyyy-mm-dd],global [Gt],uncertainty_global [Gt],301 [Gt],uncertainty_301 [Gt],302 [Gt],uncertainty_302 [Gt],303 [Gt],uncertainty_303 [Gt],304 [Gt],uncertainty_304 [Gt],305 [Gt],uncertainty_305 [Gt],306 [Gt],uncertainty_306 [Gt],307 [Gt],uncertainty_307 [Gt]
2002_108,2002-04-18,1769.1203,27.9676,178.6897,4.965,154.332,7.9716,218.9159,10.0606,285.7281,12.2585,137.6014,10.6254,488.2627,17.0366,305.5904,6.2734
2002_129,2002-05-09,1811.2748,25.6938,176.5624,4.5614,138.2231,7.3235,214.3379,9.2427,289.0195,11.2619,173.516,9.7616,498.8467,15.6515,320.7693,5.7633
2002_228,2002-08-16,1552.6263,22.0732,164.1212,3.9186,109.4199,6.2916,161.3383,7.9403,262.2312,9.6749,134.6823,8.3861,412.587,13.446,308.2464,4.9512
2002_258,2002-09-15,1523.9777,29.7321,151.0889,5.2783,111.602,8.4746,154.8372,10.6953,238.3601,13.0319,144.7632,11.2958,433.4877,18.1114,289.8385,6.6692
2002_289,2002-10-16,1576.8844,21.9332,147.3227,3.8937,102.438,6.2516,176.3756,7.8899,268.6964,9.6136,141.0369,8.3328,457.5531,13.3607,283.4617,4.9198
2002_320,2002-11-16,1612.6644,21.9934,160.071,3.9044,94.5608,6.2688,195.7549,7.9115,258.5197,9.64,145.7949,8.3557,470.5813,13.3974,287.3817,4.9333
2002_350,2002-12-16,1634.139,24.0253,156.466,4.2651,95.7866,6.848,202.0648,8.6425,296.6725,10.5305,150.5441,9.1277,444.704,14.6351,287.901,5.3891
2003_016,2003-01-16,1632.8205,27.7959,146.6233,4.9345,117.1782,7.9227,193.894,9.9988,281.9945,12.1832,167.5362,10.5602,451.9298,16.932,273.6646,6.2348
2003_046,2003-02-15,1629.8318,22.8414,165.7447,4.055,87.988,6.5105,209.914,8.2166,305.4455,10.0116,162.313,8.6779,413.465,13.914,284.9618,5.1235
2003_075,2003-03-16,1740.0143,20.882,165.8908,3.7071,101.4099,5.952,220.1409,7.5118,318.0046,9.1528,176.1558,7.9335,478.7162,12.7204,279.696,4.684
2003_106,2003-04-16,1787.2245,20.4264,152.9009,3.6263,106.762,5.8222,251.0107,7.3479,381.1599,8.9531,178.819,7.7604,447.8273,12.4429,268.7447,4.5818
2003_131,2003-05-11,1804.1679,22.3378,150.022,3.9656,116.2629,6.367,256.7416,8.0354,400.1255,9.7909,170.4243,8.4866,441.6751,13.6072,268.9164,5.0106
2003_197,2003-07-16,1574.6477,18.633,143.7101,3.3079,81.4212,5.311,213.4063,6.7027,353.601,8.167,160.1637,7.079,357.4373,11.3504,264.9081,4.1795
2003_228,2003-08-16,1450.6941,18.7892,121.0431,3.3356,58.253,5.3555,201.3549,6.7589,317.3862,8.2355,142.6783,7.1384,339.8749,11.4455,270.1036,4.2146
2003_258,2003-09-15,1488.5595,18.4089,124.7419,3.2681,63.0699,5.2471,199.6674,6.6221,323.9648,8.0688,131.6834,6.9939,357.9376,11.2139,287.4946,4.1293
2003_289,2003-10-16,1493.1659,18.3018,129.8141,3.2491,56.2971,5.2166,195.4288,6.5836,327.1612,8.0219,119.7648,6.9532,376.8723,11.1487,287.8276,4.1053
2003_320,2003-11-16,1462.8836,18.7875,126.781,3.3353,58.7522,5.355,187.7356,6.7583,335.6117,8.2348,109.3188,7.1377,351.7711,11.4445,292.9131,4.2142
2003_350,2003-12-16,1465.2795,18.3165,135.1082,3.2517,57.9474,5.2208,194.2929,6.5889,311.348,8.0283,124.9508,6.9588,352.5407,11.1576,289.0915,4.1086
2004_007,2004-01-07,1478.4188,24.1264,133.3443,4.2831,44.9609,6.8768,194.4531,8.6788,282.8076,10.5748,144.5919,9.1661,393.0558,14.6967,285.2055,5.4117
2004_048,2004-02-17,1436.9722,18.8551,123.9083,3.3473,41.6322,5.3743,198.17,6.7826,319.6115,8.2644,107.8646,7.1634,368.8056,11.4857,276.9801,4.2294
2004_076,2004-03-16,1493.7941,17.8689,119.2822,3.1722,30.4021,5.0932,213.3631,6.4279,338.7539,7.8322,128.1577,6.7888,399.4256,10.885,264.4093,4.0082
2004_106,2004-04-15,1568.34,18.231,126.8884,3.2365,47.5375,5.1964,221.2386,6.5581,319.879,7.9908,154.2037,6.9263,430.2011,11.1055,268.3917,4.0894
2004_137,2004-05-16,1525.3072,20.9835,124.059,3.7251,50.7014,5.9809,215.9647,7.5482,311.4426,9.1973,156.6402,7.972,412.1655,12.7822,254.3338,4.7068
2004_168,2004-06-16,1501.9533,20.1423,123.2912,3.5758,63.0768,5.7412,191.2009,7.2457,302.4748,8.8286,154.8235,7.6525,409.1048,12.2698,257.9813,4.5181
2004_198,2004-07-16,1446.2518,20.6128,119.9869,3.6593,49.015,5.8753,187.7204,7.4149,327.6739,9.0348,126.1082,7.8312,373.8546,12.5564,261.8929,4.6236
2004_229,2004-08-16,1356.5594,24.7523,109.2987,4.3942,23.5469,7.0552,197.1999,8.904,285.4935,10.8492,121.48,9.4039,353.4633,15.078,266.0771,5.5522
2004_260,2004-09-16,1241.467,38.8185,101.3503,6.8914,5.83,11.0645,165.7442,13.9639,290.0595,17.0146,105.4184,14.7479,318.3557,23.6465,254.7088,8.7073
2004_290,2004-10-16,1183.0362,24.6337,105.0284,4.3732,3.2077,7.0214,150.3355,8.8613,269.5759,10.7972,90.6508,9.3588,310.246,15.0057,253.9919,5.5255
2004_320,2004-11-15,1293.3415,20.7442,126.9033,3.6827,17.2827,5.9128,150.6971,7.4622,268.2772,9.0924,93.3078,7.8811,351.3674,12.6364,285.5061,4.6531
2004_351,2004-12-16,1340.5688,19.4498,129.5562,3.4529,17.2497,5.5438,173.6859,6.9966,228.2551,8.5251,120.2642,7.3894,387.0633,11.8479,284.4944,4.3628
2005_016,2005-01-16,1335.9868,17.9088,116.6607,3.1793,6.1562,5.1046,170.6961,6.4422,274.5763,7.8496,111.5247,6.8039,373.5183,10.9092,282.8545,4.0171
