TIMESTAMP,AirTC_2m_Avg,RH_2m,AirTC_25m_Avg,RH_25m
2017-01-01,29.68,95.8,29.23,82.8
2017-01-02,27.24,95.8,26.73,82.7
2017-01-03,27.93,95.6,27.53,83.9
2017-01-04,25.75,95.8,25.11,84.0
2017-01-05,21.81,95.8,21.89,83.6
2017-01-06,26.56,95.4,26.32,83.9
2017-01-07,29.42,95.1,29.11,83.8
2017-01-08,28.2,95.8,28.05,86.4
2017-01-09,27.96,95.8,27.5,82.9
2017-01-10,25.82,95.8,25.52,83.5
2017-01-11,28.08,95.7,27.79,83.7
2017-01-12,29.23,95.6,29.18,84.9
2017-01-13,26.69,95.5,25.96,84.6
2017-01-14,24.21,95.8,24.08,84.5
2017-01-15,29.27,95.7,29.19,85.4
2017-01-16,31.5,95.7,31.36,83.6
2017-01-17,33.23,94.9,33.06,88.4
2017-01-18,30.93,95.8,30.81,85.7
2017-01-19,30.76,95.6,30.6,87.0
2017-01-20,27.54,86.2,27.18,83.8
2017-01-21,29.7,95.8,29.5,82.6
2017-01-22,32.18,60.01,31.91,74.93
2017-01-23,35.8,95.6,35.67,86.0
2017-01-24,31.25,95.8,31.0,82.5
2017-01-25,26.58,95.7,26.37,84.2
2017-01-26,26.81,95.8,26.33,84.4
2017-01-27,28.72,94.3,28.73,84.1
2017-01-28,22.99,95.8,22.63,83.7
2017-01-29,24.37,90.8,23.95,83.8
2017-01-30,27.68,80.9,27.55,81.7
2017-01-31,30.6,93.6,30.36,82.4
2017-02-01,32.11,95.8,31.77,86.9
2017-02-02,29.51,95.8,29.23,84.1
2017-02-03,26.29,94.8,25.59,84.6
2017-02-04,25.79,95.8,25.52,85.1
2017-02-05,26.73,93.5,26.49,82.8
2017-02-06,28.19,95.7,28.1,89.8
2017-02-07,29.08,95.8,28.88,90.7
2017-02-08,28.66,94.9,28.72,85.7
2017-02-09,33.26,90.2,32.98,82.4
2017-02-10,34.63,95.8,34.59,78.45
2017-02-11,33.66,51.67,33.39,71.07
2017-02-12,32.49,95.8,32.12,86.5
2017-02-13,33.0,95.7,32.81,84.9
2017-02-14,30.79,90.9,30.58,84.2
2017-02-15,29.91,76.2,29.44,79.18
2017-02-16,29.66,60.71,29.46,75.89
2017-02-17,31.59,91.1,31.43,83.9
2017-02-18,25.2,95.6,24.88,88.5
2017-02-19,25.27,95.8,24.87,86.8
2017-02-20,27.67,95.8,27.33,85.8
2017-02-21,26.18,95.7,25.85,86.8
2017-02-22,27.77,95.8,27.61,88.4
2017-02-23,27.42,95.6,27.31,85.1
2017-02-24,28.59,95.8,28.43,86.5
2017-02-25,33.98,95.4,33.56,84.9
2017-02-26,32.57,95.8,32.28,86.8
2017-02-27,33.31,95.1,33.01,83.7
2017-02-28,31.48,95.8,31.15,85.5
2017-03-01,29.57,95.6,29.81,83.6
2017-03-02,32.45,95.8,32.54,83.3
2017-03-03,27.07,82.5,26.93,78.68
2017-03-04,29.13,78.38,29.03,76.15
2017-03-05,31.32,95.8,31.38,90.7
2017-03-06,32.23,50.59,31.98,68.52
2017-03-07,36.47,54.95,35.88,73.85
2017-03-08,34.2,71.17,33.78,79.26
2017-03-09,34.04,53.05,33.83,70.19
2017-03-10,35.5,85.4,35.1,80.7
2017-03-11,36.07,94.4,35.85,90.7
2017-03-12,36.46,24.91,35.86,44.49
2017-03-13,34.95,22.05,34.7,47.61
2017-03-14,35.72,52.0,35.66,62.57
2017-03-15,34.12,8.35,33.96,29.59
2017-03-16,31.65,58.42,31.4,81.3
2017-03-17,33.96,55.81,33.81,73.9
2017-03-18,36.41,70.93,35.87,74.74
2017-03-19,35.89,51.96,35.88,58.59
2017-03-20,36.12,23.39,35.88,44.45
2017-03-21,36.08,12.81,35.88,39.07
2017-03-22,36.36,29.44,35.88,50.43
2017-03-23,31.94,71.41,31.93,79.43
2017-03-24,35.42,61.48,35.33,73.91
2017-03-25,31.93,52.81,31.62,75.61
2017-03-26,35.03,60.81,34.93,76.92
2017-03-27,35.21,49.47,35.12,71.18
2017-03-28,36.06,22.28,35.88,42.98
2017-03-29,36.16,10.65,35.88,35.37
2017-03-30,36.21,3.989,35.88,28.84
2017-03-31,36.15,5.578,35.88,30.12
2017-04-01,36.6,3.449,35.88,27.22
2017-04-02,36.19,8.28,35.86,33.91
2017-04-03,36.03,1.318,35.86,23.09
2017-04-04,35.92,6.729,35.88,31.48
2017-04-05,35.98,4.125,35.59,27.56
2017-04-06,34.28,28.14,34.32,62.46
2017-04-07,33.6,31.32,33.71,59.73
2017-04-08,32.43,60.39,32.3,75.73
2017-04-09,35.29,33.91,35.11,56.39
2017-04-10,35.58,49.64,35.63,64.75
2017-04-11,33.59,11.69,33.38,42.31
2017-04-12,30.51,95.6,30.36,85.3
2017-04-13,26.32,74.76,26.2,86.8
