TIMESTAMP,AirTC_2m_Avg,RH_2m,AirTC_25m_Avg,RH_25m
2017-01-01,12.49,7.568,16.84,33.68
2017-01-02,11.44,11.42,16.94,39.16
2017-01-03,11.51,14.5,17.63,43.18
2017-01-04,9.75,19.36,15.48,48.89
2017-01-05,9.1,32.78,15.5,59.82
2017-01-06,9.49,4.528,17.2,33.32
2017-01-07,9.45,0.473,16.77,22.88
2017-01-08,5.839,8.89,16.52,32.71
2017-01-09,8.87,9.83,15.69,37.68
2017-01-10,9.53,12.57,15.66,41.53
2017-01-11,8.69,9.46,15.51,37.4
2017-01-12,8.51,10.47,15.92,39.22
2017-01-13,8.46,8.62,15.56,39.87
2017-01-14,8.45,10.61,14.88,41.97
2017-01-15,7.485,3.75,14.83,32.47
2017-01-16,7.636,0.54,15.45,29.39
2017-01-17,8.06,4.695,16.71,27.73
2017-01-18,5.91,2.061,16.55,27.06
2017-01-19,5.173,6.284,17.5,30.24
2017-01-20,5.249,15.64,17.3,41.16
2017-01-21,5.183,8.38,16.3,31.66
2017-01-22,14.7,0.473,17.55,17.3
2017-01-23,5.99,2.364,17.8,24.35
2017-01-24,5.197,10.47,17.6,33.92
2017-01-25,6.537,16.56,16.05,44.67
2017-01-26,5.149,6.69,14.87,32.67
2017-01-27,5.368,0.541,14.94,25.27
2017-01-28,5.239,13.92,13.98,44.47
2017-01-29,5.15,6.42,13.9,35.88
2017-01-30,5.158,0.473,14.65,26.49
2017-01-31,9.55,0.473,15.85,19.87
2017-02-01,5.237,0.473,15.22,21.92
2017-02-02,5.151,6.69,15.9,32.1
2017-02-03,5.208,17.6,15.73,48.39
2017-02-04,6.971,13.35,15.26,42.85
2017-02-05,7.877,2.467,12.56,29.17
2017-02-06,5.68,0.473,12.53,20.61
2017-02-07,9.29,2.669,14.49,24.8
2017-02-08,10.39,10.61,15.66,34.87
2017-02-09,13.48,8.17,16.5,32.32
2017-02-10,20.97,6.417,21.94,30.46
2017-02-11,19.1,7.735,20.0,32.93
2017-02-12,11.78,2.297,17.55,25.54
2017-02-13,12.51,0.473,16.25,13.51
2017-02-14,12.4,0.473,15.6,14.26
2017-02-15,13.83,0.473,15.78,18.08
2017-02-16,15.0,0.473,16.52,23.68
2017-02-17,13.63,0.473,16.12,23.11
2017-02-18,10.87,15.48,15.51,45.95
2017-02-19,10.59,15.88,15.82,49.87
